,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,International total
5120,2018,Afghanistan,Afghanistan,0,0,2106893,0
5121,2018,Bangladesh,Afghanistan,0,5,0,5
5122,2018,Iran (Islamic Rep. of),Afghanistan,34,9,0,43
5123,2018,Pakistan,Afghanistan,72194,121,0,72315
5124,2018,Tajikistan,Afghanistan,0,7,0,7
5125,2018,Türkiye,Afghanistan,0,139,0,139
5126,2018,Algeria,Albania,0,16,0,16
5127,2018,Egypt,Albania,5,0,0,5
5128,2018,China,Albania,12,0,0,12
5129,2018,Dem. Rep. of the Congo,Albania,5,0,0,5
5130,2018,Palestinian,Albania,14,8,0,22
5131,2018,Iran (Islamic Rep. of),Albania,12,5,0,17
5132,2018,Iraq,Albania,5,25,0,30
5133,2018,Libya,Albania,0,28,0,28
5134,2018,Morocco,Albania,0,28,0,28
5135,2018,Serbia and Kosovo: S/RES/1244 (1999),Albania,58,5,0,63
5136,2018,Syrian Arab Rep.,Albania,6,44,0,50
5137,2018,Türkiye,Albania,5,0,0,5
5138,2018,Uzbekistan,Albania,5,0,0,5
5139,2018,Venezuela (Bolivarian Republic of),Albania,5,0,0,5
5140,2018,Stateless,Albania,0,0,0,0
5141,2018,Benin,Algeria,5,5,0,10
5142,2018,Burkina Faso,Algeria,0,5,0,5
5143,2018,Central African Rep.,Algeria,49,33,0,82
5144,2018,Chad,Algeria,6,11,0,17
5145,2018,Cameroon,Algeria,35,163,0,198
5146,2018,Dem. Rep. of the Congo,Algeria,59,80,0,139
5147,2018,Palestinian,Algeria,4013,128,0,4141
5148,2018,Ghana,Algeria,0,5,0,5
5149,2018,Guinea,Algeria,13,224,0,237
5150,2018,Cote d'Ivoire,Algeria,40,152,0,192
5151,2018,Iraq,Algeria,13,0,0,13
5152,2018,Liberia,Algeria,0,14,0,14
5153,2018,Libya,Algeria,19,13,0,32
5154,2018,Lebanon,Algeria,0,5,0,5
5155,2018,Mali,Algeria,55,179,0,234
5156,2018,Niger,Algeria,0,25,0,25
5157,2018,Nigeria,Algeria,0,119,0,119
5158,2018,Sierra Leone,Algeria,0,5,0,5
5159,2018,Somalia,Algeria,0,5,0,5
5160,2018,Sudan,Algeria,5,15,0,20
5161,2018,Syrian Arab Rep.,Algeria,14,7485,0,7499
5162,2018,Togo,Algeria,5,0,0,5
5163,2018,Western Sahara,Algeria,90000,0,0,90000
5164,2018,Yemen,Algeria,10,239,0,249
5165,2018,Burundi,Angola,18,94,0,112
5166,2018,Central African Rep.,Angola,7,76,0,83
5167,2018,Chad,Angola,191,779,0,970
5168,2018,Congo,Angola,65,58,0,123
5169,2018,Dem. Rep. of the Congo,Angola,37077,498,0,37575
5170,2018,Eritrea,Angola,17,1767,0,1784
5171,2018,Ethiopia,Angola,0,57,0,57
5172,2018,Guinea-Bissau,Angola,7,268,0,275
5173,2018,Guinea,Angola,84,9144,0,9228
5174,2018,Cote d'Ivoire,Angola,417,5940,0,6357
5175,2018,Liberia,Angola,164,478,0,642
5176,2018,Mauritania,Angola,324,5402,0,5726
5177,2018,Rwanda,Angola,501,67,0,568
5178,2018,Sierra Leone,Angola,413,1497,0,1910
5179,2018,Somalia,Angola,270,1731,0,2001
5180,2018,Sudan,Angola,280,1670,0,1950
5181,2018,United Rep. of Tanzania,Angola,5,0,0,5
5182,2018,Uganda,Angola,0,6,0,6
5183,2018,Western Sahara,Angola,16,596,0,612
5184,2018,Afghanistan,Egypt,20,23,0,43
5185,2018,Burundi,Egypt,27,43,0,70
5186,2018,Benin,Egypt,0,5,0,5
5187,2018,Bangladesh,Egypt,0,5,0,5
5188,2018,Central African Rep.,Egypt,22,25,0,47
5189,2018,Chad,Egypt,47,20,0,67
5190,2018,China,Egypt,0,69,0,69
5191,2018,Cameroon,Egypt,5,32,0,37
5192,2018,Congo,Egypt,5,23,0,28
5193,2018,Dem. Rep. of the Congo,Egypt,45,24,0,69
5194,2018,Djibouti,Egypt,5,10,0,15
5195,2018,Eritrea,Egypt,4340,11102,0,15442
5196,2018,Ethiopia,Egypt,3814,12117,0,15931
5197,2018,Gambia,Egypt,0,5,0,5
5198,2018,Palestinian,Egypt,70021,0,0,70021
5199,2018,Ghana,Egypt,0,9,0,9
5200,2018,Guinea,Egypt,5,41,0,46
5201,2018,Cote d'Ivoire,Egypt,109,5,0,114
5202,2018,India,Egypt,0,5,0,5
5203,2018,Iraq,Egypt,4346,2648,0,6994
5204,2018,Jordan,Egypt,5,12,0,17
5205,2018,Kenya,Egypt,6,5,0,11
5206,2018,Liberia,Egypt,0,13,0,13
5207,2018,Libya,Egypt,5,0,0,5
5208,2018,Mali,Egypt,5,6,0,11
5209,2018,Niger,Egypt,0,5,0,5
5210,2018,Nigeria,Egypt,18,343,0,361
5211,2018,Russian Federation,Egypt,7,52,0,59
5212,2018,Saudi Arabia,Egypt,0,6,0,6
5213,2018,Sierra Leone,Egypt,5,16,0,21
5214,2018,Somalia,Egypt,3588,3576,0,7164
5215,2018,Sudan,Egypt,19540,22231,0,41771
5216,2018,South Sudan,Egypt,7737,6885,0,14622
5217,2018,Syrian Arab Rep.,Egypt,132871,0,0,132871
5218,2018,Tajikistan,Egypt,12,37,0,49
5219,2018,Turkmenistan,Egypt,5,0,0,5
5220,2018,Togo,Egypt,0,7,0,7
5221,2018,Tunisia,Egypt,0,5,0,5
5222,2018,Türkiye,Egypt,0,401,0,401
5223,2018,Uganda,Egypt,11,19,0,30
5224,2018,Uzbekistan,Egypt,0,56,0,56
5225,2018,Yemen,Egypt,100,8222,0,8322
5226,2018,Zimbabwe,Egypt,15,55,0,70
5227,2018,Stateless,Egypt,5,0,0,5
5228,2018,Unknown ,Egypt,0,5,0,5
